State School ID,NCES District ID,State District ID,Census Track ,GEOID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
LA-017-017019,2200540,LA-017,Census Tract 25,220330025002000,PK,05,Buchanan Elementary School,East Baton Rouge Parish,1222 East Buchanan,Baton Rouge,LA,70802,,(225)343-4585,No,No,Yes,Yes,400.00000,21.00000,19.0000000,228.00000,6.00000
LA-017-017128,2200540,LA-017,Census Tract 10,220330010001006,PK,05,Capitol Elementary School,East Baton Rouge Parish,4141 Gus Young Avenue,Baton Rouge,LA,70802,,(225)343-9364,No,No,Yes,Yes,316.00000,19.00000,16.6000000,268.00000,0.00000
LA-017-017022,2200540,LA-017,Census Tract 39.09,220330039093012,PK,05,Cedarcrest-Southmoor Elementary School,East Baton Rouge Parish,10187 Twin Cedars,Baton Rouge,LA,70816,,(225)293-9950,No,No,Yes,Yes,664.00000,30.00000,22.1000000,343.00000,9.00000
LA-017-017026,2200540,LA-017,Census Tract 2,220330002001006,PK,05,Claiborne Elementary School,East Baton Rouge Parish,4707 Denham Street,Baton Rouge,LA,70805,,(225)357-9712,No,No,Yes,Yes,398.00000,18.00000,22.1000000,319.00000,0.00000
LA-017-017111,2200540,LA-017,Census Tract 51,220330051001005,06,08,Community School For Apprenticeship Learning,East Baton Rouge Parish,1555 Madison Ave,Baton Rouge,LA,70802,,(225)356-1410,Yes,No,Yes,Yes,304.00000,21.00000,14.5000000,171.00000,3.00000
LA-017-017027,2200540,LA-017,Census Tract 30,220330030002008,PK,05,Crestworth Elementary School,East Baton Rouge Parish,11200 Avenue F,Baton Rouge,LA,70807,,(225)778-1317,No,No,Yes,Yes,260.00000,16.00000,16.3000000,238.00000,0.00000
LA-017-017153,2200540,LA-017,Census Tract 51,220330051001002,KG,02,CSAL Elementary,East Baton Rouge Parish,1705 MADISON AVENUE,BATON ROUGE,LA,70802,,(225)412-9900,Yes,No,–,–,81.00000,5.00000,16.2000000,48.00000,2.00000
LA-017-017143,2200540,LA-017, Census Tract 3,220330003002001,PK,PK,Delmont Pre-K and Kindergarten Center,East Baton Rouge Parish,5300 Douglas Street,Baton Rouge,LA,70805,,(225)355-2106,No,No,No,†,72.00000,9.00000,8.0000000,46.00000,1.00000
LA-017-017092,2200540,LA-017,Census Tract 33,220330033004008,PK,12,EBR Readiness Superintendent Academy,East Baton Rouge Parish,2401 72nd Avenue,Baton Rouge,LA,70807,,(225)757-9679,No,No,Yes,Yes,73.00000,24.00000,3.0000000,51.00000,0.00000
LA-017-017147,2200540,LA-017,Census Tract 36.03,220330036031004,09,12,EBR Virtual Academy,East Baton Rouge Parish,10755 Cletus Dr.,Baton Rouge,LA,70815,,(225)478-9264,No,No,Yes,Yes,27.00000,0.95000,28.4000000,10.00000,0.00000
LA-017-017034,2200540,LA-017,Census Tract 35.04,220330035042000,PK,05,Forest Heights Academy of Excellence,East Baton Rouge Parish,7447 Sumrall Drive,Baton Rouge,LA,70812,,(225)355-5681,No,Yes,Yes,Yes,414.00000,27.00000,15.3000000,179.00000,3.00000
LA-017-017035,2200540,LA-017,Census Tract 26.02,220330026024001,06,08,Glasgow Middle School,East Baton Rouge Parish,1676 Glasgow Ave,Baton Rouge,LA,70808,,(225)925-2942,No,No,Yes,Yes,537.00000,20.00000,26.9000000,251.00000,4.00000
LA-017-017037,2200540,LA-017,Census Tract 35.04,220330035043002,PK,05,Glen Oaks Park Elementary School,East Baton Rouge Parish,5656 Lanier Drive,Baton Rouge,LA,70812,,(225)356-4521,No,No,Yes,Yes,476.00000,25.00000,19.0000000,360.00000,13.00000
LA-017-017038,2200540,LA-017,Census Tract 35.04,220330035042003,06,12,Glen Oaks Senior High School,East Baton Rouge Parish,6650 Cedar Grove Dr,Baton Rouge,LA,70812,,(225)356-4306,No,No,Yes,Yes,684.00000,49.00000,14.0000000,510.00000,1.00000
LA-017-017040,2200540,LA-017,Census Tract 35.07,220330035072018,PK,05,Greenbrier Elementary School,East Baton Rouge Parish,12203 Canterbury Dr.,Baton Rouge,LA,70814,,(225)275-4260,No,No,Yes,Yes,320.00000,18.89000,16.9000000,213.00000,10.00000
LA-017-017043,2200540,LA-017,Census Tract 49,220330049002011,PK,05,Highland Elementary School,East Baton Rouge Parish,280 Sunset Blvd,Baton Rouge,LA,70808,,(225)766-1272,No,No,Yes,Yes,338.00000,20.00000,16.9000000,177.00000,1.00000
LA-017-017044,2200540,LA-017,Census Tract 7.01,220330007011005,PK,05,Howell Park Elementary School,East Baton Rouge Parish,6125 Winbourne Ave,Baton Rouge,LA,70805,,(225)356-0104,No,No,Yes,Yes,178.00000,10.00000,17.8000000,141.00000,0.00000
LA-017-017152,2200540,LA-017,Census Tract 51,220330051003066,KG,08,IDEA Bridge,East Baton Rouge Parish,804 Main Street,Baton Rouge,LA,70802,,(225)778-9091,Yes,No,Yes,Yes,1059.00000,35.56000,29.8000000,667.00000,0.00000
LA-017-017151,2200540,LA-017,Census Tract 51,220330051003066,KG,08,IDEA Innovation,East Baton Rouge Parish,804 Main Street,Baton Rouge,LA,70802,,(225)249-2622,Yes,No,Yes,Yes,771.00000,26.67000,28.9000000,413.00000,0.00000
LA-017-017135,2200540,LA-017,Census Tract 2,220330002003001,KG,08,Inspire Charter Academy (Natl. Heritage Acad.),East Baton Rouge Parish,5454 North Foster Drive,Baton Rouge,LA,70805,,(225)356-3936,Yes,No,Yes,Yes,551.00000,29.50000,18.7000000,466.00000,3.00000
LA-017-017045,2200540,LA-017,Census Tract 6.02,220330006022002,06,12,Istrouma High School,East Baton Rouge Parish,3730 Winbourne,Baton Rouge,LA,70805,,(225)636-2686,No,Yes,Yes,Yes,931.00000,51.00000,18.3000000,670.00000,3.00000
LA-017-017112,2200540,LA-017, Census Tract 31.04,220330031046004,PK,07,J. K. Haynes Charter Inc.,East Baton Rouge Parish,8600 Elm Grove Garden Drive,Baton Rouge,LA,70807,,(225)774-1311,Yes,No,Yes,Yes,219.00000,12.00000,18.3000000,173.00000,0.00000
LA-017-017047,2200540,LA-017,Census Tract 38.10,220330038101012,PK,06,Jefferson Terrace Elementary School,East Baton Rouge Parish,9902 Cal Road,Baton Rouge,LA,70809,,(225)293-3210,No,No,Yes,Yes,508.00000,25.00000,20.3000000,281.00000,4.00000
LA-017-017050,2200540,LA-017,Census Tract 36.04,220330036042002,PK,05,LaBelle Aire Elementary School,East Baton Rouge Parish,12255 Tams Drive,Baton Rouge,LA,70815,,(225)275-7480,No,No,Yes,Yes,519.00000,33.00000,15.7000000,345.00000,7.00000
LA-017-017051,2200540,LA-017,Census Tract 20,220330020002022,PK,05,LaSalle Elementary School,East Baton Rouge Parish,8000 Lasalle,Baton Rouge,LA,70806,,(225)927-6130,No,No,Yes,Yes,508.00000,22.00000,23.1000000,248.00000,2.00000
LA-017-017138,2200540,LA-017,Census Tract 26.01,220330026011008,09,12,Lee High School,East Baton Rouge Parish,1105 Lee Drive,Baton Rouge,LA,70808,,(225)924-9406,No,Yes,Yes,Yes,1177.00000,63.00000,18.7000000,320.00000,6.00000
LA-017-017053,2200540,LA-017,Census Tract 50,220330050001003,PK,05,Magnolia Woods Elementary School,East Baton Rouge Parish,760 Maxine Drive,Baton Rouge,LA,70808,,(225)769-6845,No,No,Yes,Yes,455.00000,30.00000,15.2000000,255.00000,7.00000
LA-017-017144,2200540,LA-017,Census Tract 40.17,220330040171001,KG,08,Mayfair Laboratory School,East Baton Rouge Parish,9880 Hyacinth Avenue,Baton Rouge,LA,70810,,(225)761-7849,No,Yes,Yes,No,462.00000,35.00000,13.2000000,80.00000,20.00000
LA-017-017055,2200540,LA-017,Census Tract 22,220330022002035,06,08,McKinley Middle Magnet School,East Baton Rouge Parish,1550 Eddie Robinson Sr. Drive,Baton Rouge,LA,70802,,(225)388-0089,No,Yes,Yes,Yes,743.00000,37.00000,20.1000000,292.00000,15.00000
LA-017-017056,2200540,LA-017,Census Tract 25,220330025002000,09,12,McKinley Senior High School,East Baton Rouge Parish,800 East Mckinley,Baton Rouge,LA,70802,,(225)344-7696,No,No,Yes,Yes,1012.00000,50.25000,20.1000000,504.00000,4.00000
LA-017-017057,2200540,LA-017,Census Tract 11.03,220330011032000,PK,05,Melrose Elementary School,East Baton Rouge Parish,1348 Valcour St,Baton Rouge,LA,70806,,(225)926-2353,No,No,Yes,Yes,336.00000,24.00000,14.0000000,280.00000,0.00000
LA-017-017133,2200540,LA-017,Census Tract 51,220330051003052,09,12,Mentorship STEAM Academy,East Baton Rouge Parish,339 Florida Street,Baton Rouge,LA,70801,,(225)505-5013,Yes,No,Yes,Yes,464.00000,27.00000,17.2000000,267.00000,0.00000
LA-017-017058,2200540,LA-017,Census Tract 35.04,220330035044003,PK,05,Merrydale Elementary School,East Baton Rouge Parish,6700 Rio Street,Baton Rouge,LA,70812,,(225)355-0346,No,No,Yes,Yes,311.00000,14.00000,22.2000000,270.00000,1.00000
LA-017-017063,2200540,LA-017,Census Tract 36.03,220330036031004,KG,12,Northdale Superintendent's Academy,East Baton Rouge Parish,10755 Cletus,Baton Rouge,LA,70815,,(225)272-2036,No,No,Yes,Yes,98.00000,17.86000,5.5000000,65.00000,0.00000
LA-017-017068,2200540,LA-017,Census Tract 9,220330009002050,PK,05,Park Elementary School,East Baton Rouge Parish,2700 Fuqua Street,Baton Rouge,LA,70802,,(225)344-2145,No,No,Yes,Yes,275.00000,18.00000,15.3000000,227.00000,0.00000
LA-017-017069,2200540,LA-017,Census Tract 35.06,220330035061010,PK,05,Park Forest Elementary School,East Baton Rouge Parish,10717 Elaine Street,Baton Rouge,LA,70814,,(225)272-0814,No,No,Yes,Yes,459.00000,25.25000,18.2000000,266.00000,0.00000
LA-017-017070,2200540,LA-017,Census Tract 35.06,220330035062015,06,08,Park Forest Middle School,East Baton Rouge Parish,3760 Aletha Drive,Baton Rouge,LA,70814,,(225)275-6650,No,No,Yes,Yes,690.00000,35.57000,19.4000000,474.00000,2.00000
LA-017-017072,2200540,LA-017,Census Tract 39.14,220330039142000,PK,05,Parkview Elementary School,East Baton Rouge Parish,5660 Park Forest,Baton Rouge,LA,70816,,(225)293-5615,No,No,Yes,Yes,531.00000,24.00000,22.1000000,219.00000,18.00000
LA-017-017075,2200540,LA-017,Census Tract 31.04,220330031043004,PK,05,Progress Elementary School,East Baton Rouge Parish,855 Progress Road,Baton Rouge,LA,70807,,(225)775-4986,No,No,Yes,Yes,336.00000,21.00000,16.0000000,287.00000,3.00000
LA-017-017077,2200540,LA-017,Census Tract 45.03,220330045033021,PK,05,Riveroaks Elementary School,East Baton Rouge Parish,950 Fontainbleau Dr,Baton Rouge,LA,70815,,(225)275-4600,No,No,Yes,Yes,514.00000,26.00000,19.8000000,299.00000,44.00000
LA-017-017078,2200540,LA-017,Census Tract 31.04,220330031041000,PK,05,Ryan Elementary School,East Baton Rouge Parish,10337 Elm Grove Garden Dr.,Baton Rouge,LA,70807,,(225)775-2407,No,No,Yes,Yes,315.00000,15.75000,20.0000000,273.00000,0.00000
LA-017-017079,2200540,LA-017,Census Tract 31.04,220330031041000,09,12,Scotlandville Magnet High School,East Baton Rouge Parish,9870 Scotland Avenue,Baton Rouge,LA,70807,,(225)775-3715,No,No,Yes,Yes,961.00000,57.00000,16.9000000,632.00000,11.00000
LA-017-017130,2200540,LA-017,Census Tract 42.01,220330042013001,06,08,Scotlandville Pre-Engineering Academy,East Baton Rouge Parish,2555 Desoto Drive,Baton Rouge,LA,70807,,(225)775-0776,No,Yes,Yes,Yes,385.00000,22.00000,17.5000000,272.00000,3.00000
LA-017-017081,2200540,LA-017,Census Tract 32.01,220330032013000,PK,05,Sharon Hills Elementary School,East Baton Rouge Parish,6450 Guynell Drive,Baton Rouge,LA,70811,,(225)355-6522,No,No,Yes,Yes,270.00000,16.00000,16.9000000,225.00000,2.00000
LA-017-017082,2200540,LA-017,Census Tract 45.13,220330045131012,PK,05,Shenandoah Elementary School,East Baton Rouge Parish,16555 Appomattox Ave,Baton Rouge,LA,70817,,(225)753-3560,No,No,Yes,Yes,565.00000,28.00000,20.2000000,195.00000,26.00000
LA-017-017083,2200540,LA-017,Census Tract 37.02,220330037023010,06,08,Sherwood Middle Academic Academy,East Baton Rouge Parish,1020 Marlbrook Dr,Baton Rouge,LA,70815,,(225)272-3090,No,Yes,Yes,Yes,775.00000,40.20000,19.3000000,183.00000,33.00000
LA-017-017145,2200540,LA-017,Census Tract 40.28,220330040282015,PK,08,South Baton Rouge Charter Academy,East Baton Rouge Parish,9211 Parkway Drive,Baton Rouge,LA,70810,,(225)349-7489,Yes,No,Yes,Yes,735.00000,36.33000,20.2000000,372.00000,0.00000
LA-017-017031,2200540,LA-017,Census Tract 26.01,220330026012004,PK,PK,Southdowns School,East Baton Rouge Parish,2050 Hood Avenue,Baton Rouge,LA,70808,,(225)346-1127,No,No,Yes,Yes,51.00000,3.00000,17.0000000,23.00000,0.00000
LA-017-017088,2200540,LA-017,Census Tract 20,220330020001015,09,12,Tara High School,East Baton Rouge Parish,9002 Whitehall,Baton Rouge,LA,70806,,(225)927-6100,No,No,Yes,Yes,808.00000,54.00000,15.0000000,415.00000,2.00000
LA-017-017032,2200540,LA-017,Census Tract 53,220330053002017,PK,05,The Dufrocq School,East Baton Rouge Parish,330 South 19th St,Baton Rouge,LA,70806,,(225)334-7653,No,No,Yes,Yes,569.00000,33.54000,17.0000000,282.00000,3.00000
LA-017-017089,2200540,LA-017,Census Tract 37.03,220330037031021,PK,05,Twin Oaks Elementary School,East Baton Rouge Parish,819 Trammel Drive,Baton Rouge,LA,70815,,(225)275-6620,No,No,Yes,Yes,464.00000,26.00000,17.8000000,236.00000,2.00000
LA-017-017091,2200540,LA-017,Census Tract 28.01,220330028012001,01,05,University Terrace Elementary School,East Baton Rouge Parish,575 West Roosevelt,Baton Rouge,LA,70802,,(225)387-2328,No,No,Yes,Yes,216.00000,12.46000,17.3000000,157.00000,0.00000
LA-017-017093,2200540,LA-017,Census Tract 36.01,220330036012032,PK,05,Villa del Rey Elementary School,East Baton Rouge Parish,9765 Cuyhanga Pkwy,Baton Rouge,LA,70815,,(225)924-1606,No,No,Yes,Yes,378.00000,20.44000,18.5000000,232.00000,0.00000
LA-017-017095,2200540,LA-017,Census Tract 45.11,220330045111002,PK,05,Wedgewood Elementary School,East Baton Rouge Parish,2330 Aspenwood Ave,Baton Rouge,LA,70816,,(225)753-7301,No,No,Yes,Yes,466.00000,24.00000,19.4000000,243.00000,4.00000
LA-017-017096,2200540,LA-017,Census Tract 27,220330027001000,PK,05,Westdale Heights Academic Magnet School,East Baton Rouge Parish,2000 College Drive,Baton Rouge,LA,70808,,(225)926-5421,No,Yes,No,†,441.00000,27.00000,16.3000000,48.00000,0.00000
LA-017-017097,2200540,LA-017,Census Tract 19,220330019002023,06,08,Westdale Middle School,East Baton Rouge Parish,5650 Claycut Road,Baton Rouge,LA,70806,,(225)924-1308,No,No,Yes,Yes,854.00000,41.50000,20.6000000,480.00000,3.00000
LA-017-017098,2200540,LA-017,Census Tract 38.04,220330038043010,PK,05,Westminster Elementary School,East Baton Rouge Parish,8935 Westminster Dr,Baton Rouge,LA,70809,,(225)927-2930,No,No,Yes,Yes,308.00000,18.00000,17.1000000,188.00000,0.00000
LA-017-017100,2200540,LA-017,Census Tract 40.17,220330040172005,PK,05,Wildwood Elementary School,East Baton Rouge Parish,444 Halfway Tree Rd,Baton Rouge,LA,70810,,(225)766-6002,No,No,Yes,Yes,504.00000,25.00000,20.2000000,184.00000,3.00000
LA-017-017101,2200540,LA-017,Census Tract 6.01,220330006013007,KG,05,Winbourne Elementary School,East Baton Rouge Parish,4503 Winbourne Ave,Baton Rouge,LA,70805,,(225)355-4446,No,No,Yes,Yes,330.00000,21.00000,15.7000000,284.00000,3.00000
LA-017-017131,2200540,LA-017,Census Tract 45.09,220330045091016,PK,05,Woodlawn Elementary,East Baton Rouge Parish,8160 Antioch Road,Baton Rouge,LA,70817,,(225)756-3681,No,No,Yes,Yes,623.00000,34.00000,18.3000000,249.00000,4.00000
LA-017-017102,2200540,LA-017, Census Tract 45.09,220330045091016,09,12,Woodlawn High School,East Baton Rouge Parish,15755 Jefferson Highway,Baton Rouge,LA,70817,,(225)753-1200,No,No,Yes,Yes,1404.00000,65.86000,21.3000000,531.00000,9.00000
LA-017-017125,2200540,LA-017,Census Tract 45.07,220330045071010,06,08,Woodlawn Middle School,East Baton Rouge Parish,14939 Tiger Bend Road,Baton Rouge,LA,70817,,(225)751-0436,No,No,Yes,Yes,1050.00000,43.64000,24.1000000,460.00000,24.00000
